Symbol,Date,Expiry,Strike Price,Close,LTP,Settle Price,Spot Price,Time
NIFTY,10-11-2017,28-Dec-17,10100,346.65,357.25,346.65,10321.75,48
NIFTY,10-11-2017,28-Dec-17,10200,280.1,288,280.1,10321.75,48
NIFTY,10-11-2017,28-Dec-17,10300,214.45,220,214.45,10321.75,48
NIFTY,10-11-2017,28-Dec-17,10400,153.65,161.45,153.65,10321.75,48
NIFTY,10-11-2017,28-Dec-17,10500,112.2,117.7,112.2,10321.75,48
NIFTY,10-11-2017,28-Dec-17,10600,73.25,79.25,73.25,10321.75,48
NIFTY,10-11-2017,28-Dec-17,10700,47.6,51,47.6,10321.75,48
NIFTY,10-11-2017,28-Dec-17,10800,29.85,31.8,29.85,10321.75,48
NIFTY,10-11-2017,28-Dec-17,10900,18.2,19.65,18.2,10321.75,48
NIFTY,10-11-2017,28-Dec-17,11000,13.45,14.6,13.45,10321.75,48
NIFTY,10-11-2017,28-Dec-17,11100,8.25,9.5,8.25,10321.75,48
NIFTY,10-11-2017,28-Dec-17,11200,5.35,5.4,5.35,10321.75,48
NIFTY,10-11-2017,28-Dec-17,11300,3.8,3.8,3.8,10321.75,48
NIFTY,10-11-2017,28-Dec-17,11400,4,4,4,10321.75,48
NIFTY,10-11-2017,28-Dec-17,11500,2.1,2.15,2.1,10321.75,48
NIFTY,10-11-2017,28-Dec-17,11600,19.6,0,0.3,10321.75,48
NIFTY,10-11-2017,28-Dec-17,11700,9.4,0,0.15,10321.75,48
