Date,Open,Close
02-05-2019,11725.55,11724.75
03-05-2019,11722.6,11712.25
06-05-2019,11605.8,11598.25
07-05-2019,11651.5,11497.9
08-05-2019,11478.7,11359.45
09-05-2019,11322.4,11301.8
10-05-2019,11314.15,11278.9
13-05-2019,11258.7,11148.2
14-05-2019,11151.65,11222.05
15-05-2019,11271.7,11157
16-05-2019,11180.35,11257.1
17-05-2019,11261.9,11407.15
20-05-2019,11651.9,11828.25
21-05-2019,11863.65,11709.1
22-05-2019,11727.95,11737.9
23-05-2019,11901.3,11657.05
24-05-2019,11748,11844.1
27-05-2019,11855.5,11924.75
28-05-2019,11958.35,11928.75
29-05-2019,11905.8,11861.1
30-05-2019,11865.3,11945.9
31-05-2019,11999.8,11922.8
03-06-2019,11953.75,12088.55
04-06-2019,12052.65,12021.65
06-06-2019,12039.8,11843.75
07-06-2019,11865.2,11870.65
10-06-2019,11934.9,11922.7
11-06-2019,11959.85,11965.6
12-06-2019,11962.45,11906.2
13-06-2019,11873.9,11914.05
14-06-2019,11910.1,11823.3
17-06-2019,11844,11672.15
18-06-2019,11677.05,11691.5
19-06-2019,11744.45,11691.45
20-06-2019,11653.65,11831.75
21-06-2019,11827.6,11724.1
24-06-2019,11725.8,11699.65
25-06-2019,11681,11796.45
26-06-2019,11768.15,11847.55
27-06-2019,11860.85,11841.55
28-06-2019,11861.15,11788.85
01-07-2019,11839.9,11865.6
02-07-2019,11890.3,11910.3
03-07-2019,11932.15,11916.75
